time_s,temperature_c,target_c,heater_pwm,fan_state
446,24.2,30,161,1
448,24.22,30,161,1
450,24.23,30,161,1
452,24.25,30,161,1
454,24.27,30,161,1
456,24.28,30,161,1
458,24.3,30,161,1
460,24.32,30,161,1
462,24.33,30,161,1
464,24.35,30,161,1
466,24.37,30,161,1
468,24.38,30,161,1
470,24.4,30,161,1
472,24.42,30,161,1
474,24.43,30,161,1
476,24.45,30,161,1
478,24.47,30,161,1
480,24.48,30,161,1
482,24.5,30,160,1
484,24.52,30,160,1
486,24.53,30,160,1
488,24.55,30,160,1
490,24.57,30,160,1
492,24.58,30,160,1
494,24.6,30,160,1
496,24.62,30,160,1
498,24.63,30,160,1
500,24.65,30,160,1
502,24.67,30,160,1
504,24.68,30,160,1
506,24.7,30,160,1
508,24.72,30,160,1
510,24.73,30,160,1
512,24.75,30,160,1
514,24.77,30,160,1
516,24.78,30,160,1
518,24.8,30,160,1
520,24.82,30,160,1
522,24.83,30,160,1
524,24.85,30,160,1
526,24.87,30,160,1
528,24.88,30,160,1
530,24.9,30,160,1
532,24.92,30,160,1
534,24.93,30,160,1
536,24.95,30,160,1
538,24.96,30,160,1
540,24.98,30,160,1
542,25,30,159,1
544,25.02,30,159,1
546,25.03,30,159,1
548,25.05,30,159,1
550,25.07,30,159,1
552,25.08,30,159,1
554,25.1,30,159,1
556,25.12,30,159,1
558,25.13,30,159,1
560,25.15,30,159,1
562,25.17,30,159,1
564,25.18,30,159,1
566,25.2,30,159,1
568,25.22,30,159,1
570,25.23,30,159,1
572,25.25,30,159,1
574,25.27,30,159,1
576,25.28,30,159,1
578,25.3,30,159,1
580,25.31,30,159,1
582,25.33,30,159,1
584,25.35,30,159,1
586,25.36,30,159,1
588,25.38,30,159,1
590,25.4,30,159,1
592,25.42,30,159,1
594,25.43,30,159,1
596,25.45,30,159,1
598,25.46,30,159,1
600,25.48,30,159,1
602,25.5,30,158,1
604,25.51,30,158,1
606,25.53,30,158,1
608,25.55,30,158,1
610,25.56,30,158,1
612,25.58,30,158,1
614,25.6,30,158,1
616,25.61,30,158,1
618,25.63,30,158,1
620,25.65,30,158,1
622,25.66,30,158,1
624,25.68,30,158,1
626,25.7,30,158,1
628,25.71,30,158,1
630,25.73,30,158,1
632,25.75,30,158,1
634,25.76,30,158,1
636,25.78,30,158,1
638,25.8,30,158,1
640,25.82,30,158,1
642,25.83,30,158,1
644,25.85,30,158,1
646,25.87,30,158,1
648,25.88,30,158,1
650,25.9,30,158,1
652,25.92,30,158,1
654,25.93,30,158,1
656,25.95,30,158,1
658,25.97,30,158,1
660,25.98,30,158,1
662,26,30,158,1
664,26.02,30,157,1
666,26.03,30,157,1
668,26.05,30,157,1
670,26.07,30,157,1
672,26.08,30,157,1
674,26.1,30,157,1
676,26.12,30,157,1
678,26.13,30,157,1
680,26.15,30,157,1
682,26.17,30,157,1
684,26.18,30,157,1
686,26.2,30,157,1
688,26.22,30,157,1
690,26.23,30,157,1
692,26.25,30,157,1
694,26.27,30,157,1
696,26.28,30,157,1
698,26.3,30,157,1
700,26.32,30,157,1
702,26.33,30,157,1
704,26.35,30,157,1
706,26.37,30,157,1
708,26.38,30,157,1
710,26.4,30,157,1
712,26.42,30,157,1
714,26.43,30,157,1
716,26.45,30,157,1
718,26.47,30,157,1
720,26.48,30,157,1
722,26.5,30,156,1
724,26.52,30,156,1
726,26.53,30,156,1
728,26.55,30,156,1
730,26.57,30,156,1
732,26.58,30,156,1
734,26.6,30,156,1
736,26.62,30,156,1
738,26.63,30,156,1
740,26.65,30,156,1
742,26.67,30,156,1
744,26.68,30,156,1
746,26.7,30,156,1
748,26.72,30,156,1
750,26.73,30,156,1
752,26.75,30,156,1
754,26.77,30,156,1
756,26.78,30,156,1
758,26.8,30,156,1
760,26.82,30,156,1
762,26.83,30,156,1
764,26.85,30,156,1
766,26.87,30,156,1
768,26.88,30,156,1
770,26.9,30,156,1
772,26.92,30,156,1
774,26.93,30,156,1
776,26.95,30,156,1
778,26.97,30,156,1
780,26.98,30,156,1
782,27,30,155,1
784,27.02,30,155,1
786,27.03,30,155,1
788,27.05,30,155,1
790,27.07,30,155,1
792,27.08,30,155,1
794,27.1,30,155,1
796,27.12,30,155,1
798,27.13,30,155,1
800,27.15,30,155,1
802,27.17,30,155,1
804,27.18,30,155,1
806,27.2,30,155,1
808,27.22,30,155,1
810,27.23,30,155,1
812,27.25,30,155,1
814,27.26,30,155,1
816,27.28,30,155,1
818,27.3,30,155,1
820,27.32,30,155,1
822,27.33,30,155,1
824,27.35,30,155,1
826,27.37,30,155,1
828,27.38,30,155,1
830,27.4,30,155,1
832,27.42,30,155,1
834,27.43,30,155,1
836,27.45,30,155,1
838,27.47,30,155,1
840,27.48,30,155,1
842,27.5,30,155,1
844,27.52,30,154,1
846,27.53,30,154,1
848,27.55,30,154,1
850,27.57,30,154,1
852,27.58,30,154,1
854,27.6,30,154,1
856,27.62,30,154,1
858,27.63,30,154,1
860,27.65,30,154,1
862,27.67,30,154,1
864,27.68,30,154,1
866,27.7,30,154,1
868,27.72,30,154,1
870,27.73,30,154,1
872,27.75,30,154,1
874,27.77,30,154,1
876,27.78,30,154,1
878,27.8,30,154,1
880,27.82,30,154,1
882,27.83,30,154,1
884,27.85,30,154,1
886,27.87,30,154,1
888,27.88,30,154,1
890,27.9,30,154,1
892,27.92,30,154,1
894,27.93,30,154,1
896,27.95,30,154,1
898,27.97,30,154,1
900,27.98,30,154,1
902,28,30,154,1
904,28.02,30,153,1
906,28.03,30,153,1
908,28.05,30,153,1
910,28.07,30,153,1
912,28.08,30,153,1
914,28.1,30,153,1
916,28.12,30,153,1
918,28.13,30,153,1
920,28.15,30,153,1
922,28.17,30,153,1
924,28.18,30,153,1
926,28.2,30,153,1
928,28.22,30,153,1
930,28.23,30,153,1
932,28.25,30,153,1
934,28.27,30,153,1
936,28.28,30,153,1
938,28.3,30,153,1
940,28.32,30,153,1
942,28.33,30,153,1
944,28.35,30,153,1
946,28.37,30,153,1
948,28.38,30,153,1
950,28.4,30,153,1
952,28.42,30,153,1
954,28.43,30,153,1
956,28.45,30,153,1
958,28.47,30,153,1
960,28.48,30,153,1
962,28.5,30,153,1
964,28.52,30,152,1
966,28.53,30,152,1
968,28.55,30,152,1
970,28.57,30,152,1
972,28.58,30,152,1
974,28.6,30,152,1
976,28.62,30,152,1
978,28.63,30,152,1
980,28.65,30,152,1
982,28.67,30,152,1
984,28.68,30,152,1
986,28.7,30,152,1
988,28.72,30,152,1
990,28.73,30,152,1
992,28.75,30,152,1
994,28.77,30,152,1
996,28.78,30,152,1
998,28.8,30,152,1
1000,28.82,30,152,1
1002,28.83,30,152,1
1004,28.85,30,152,1
1006,28.87,30,152,1
1008,28.88,30,152,1
1010,28.9,30,152,1
1012,28.92,30,152,1
1014,28.93,30,152,1
1016,28.95,30,152,1
1018,28.96,30,152,1
1020,28.98,30,152,1
1022,28.99,30,152,1
1024,29.01,30,151,1
1026,29.03,30,151,1
1028,29.04,30,151,1
1030,29.06,30,151,1
1032,29.07,30,151,1
1034,29.09,30,151,1
1036,29.1,30,151,1
1038,29.12,30,151,1
1040,29.13,30,151,1
1042,29.15,30,151,1
1044,29.16,30,151,1
1046,29.18,30,151,1
1048,29.19,30,151,1
1050,29.2,30,151,1
1052,29.22,30,151,1
1054,29.23,30,151,1
1056,29.25,30,151,1
1058,29.26,30,151,1
1060,29.27,30,151,1
1062,29.29,30,151,1
1064,29.3,30,151,1
1066,29.31,30,151,1
1068,29.33,30,151,1
1070,29.34,30,151,1
1072,29.35,30,151,1
1074,29.37,30,151,1
1076,29.38,30,151,1
1078,29.39,30,151,1
1080,29.4,30,151,1
1082,29.42,30,151,1
1084,29.43,30,151,1
1086,29.44,30,151,1
1088,29.45,30,151,1
1090,29.46,30,151,1
1092,29.47,30,151,1
1094,29.49,30,151,1
1096,29.5,30,150,1
1098,29.51,30,150,1
1100,29.52,30,150,1
1102,29.53,30,150,1
1104,29.54,30,150,1
1106,29.55,30,150,1
1108,29.56,30,150,1
1110,29.57,30,150,1
1112,29.58,30,150,1
1114,29.59,30,150,1
1116,29.6,30,150,1
1118,29.61,30,150,1
1120,29.62,30,150,1
1122,29.63,30,150,1
1124,29.64,30,150,1
1126,29.65,30,150,1
1128,29.66,30,150,1
1130,29.66,30,150,1
1132,29.67,30,150,1
1134,29.68,30,150,1
1136,29.69,30,150,1
1138,29.7,30,150,1
1140,29.71,30,150,1
1142,29.71,30,150,1
1144,29.72,30,150,1
1146,29.73,30,150,1
1148,29.74,30,150,1
1150,29.75,30,150,1
1152,29.75,30,150,1
1154,29.76,30,150,1
1156,29.77,30,150,1
1158,29.77,30,150,1
1160,29.78,30,150,1
1162,29.79,30,150,1
1164,29.8,30,150,1
1166,29.8,30,150,1
1168,29.81,30,150,1
1170,29.82,30,150,1
1172,29.82,30,150,1
1174,29.83,30,150,1
1176,29.84,30,150,1
1178,29.84,30,150,1
1180,29.85,30,150,1
1182,29.85,30,150,1
1184,29.86,30,150,1
1186,29.87,30,150,1
1188,29.87,30,150,1
1190,29.88,30,150,1
1192,29.88,30,150,1
1194,29.89,30,150,1
1196,29.89,30,150,1
1198,29.9,30,150,1
1200,29.91,30,150,1
1202,29.91,30,150,1
1204,29.92,30,150,1
1206,29.92,30,150,1
1208,29.93,30,150,1
1210,29.93,30,150,1
1212,29.94,30,150,1
1214,29.94,30,150,1
1216,29.94,30,150,1
1218,29.95,30,150,1
1220,29.95,30,150,1
1222,29.96,30,150,1
1224,29.96,30,150,1
1226,29.97,30,150,1
1228,29.97,30,150,1
1230,29.97,30,150,1
1232,29.98,30,150,1
1234,29.98,30,150,1
1236,29.99,30,150,1
1238,29.99,30,150,1
1240,30,30,149,1
1242,30,30,150,1
1244,30,30,150,1
1246,30.01,30,149,1
1248,30.01,30,149,1
1250,30.01,30,149,1
1252,30.02,30,149,1
1254,30.02,30,149,1
1256,30.03,30,149,1
1258,30.03,30,149,1
1260,30.03,30,149,1
1262,30.04,30,149,1
1264,30.04,30,149,1
1266,30.04,30,149,1
1268,30.04,30,149,1
1270,30.05,30,149,1
1272,30.05,30,149,1
1274,30.05,30,149,1
1276,30.06,30,149,1
1278,30.06,30,149,1
1280,30.06,30,149,1
1282,30.06,30,149,1
1284,30.07,30,149,1
1286,30.07,30,149,1
1288,30.07,30,148,1
1290,30.07,30,148,1
1292,30.08,30,148,1
1294,30.08,30,148,1
1296,30.08,30,148,1
1298,30.08,30,148,1
1300,30.08,30,148,1
1302,30.09,30,148,1
1304,30.09,30,148,1
1306,30.09,30,148,1
1308,30.09,30,148,1
1310,30.09,30,148,1
1312,30.09,30,147,1
1314,30.1,30,147,1
1316,30.1,30,147,1
1318,30.1,30,147,1
1320,30.1,30,147,1
1322,30.1,30,147,1
1324,30.1,30,147,1
1326,30.1,30,147,1
1328,30.1,30,147,1
1330,30.1,30,147,1
1332,30.1,30,146,1
1334,30.1,30,146,1
1336,30.11,30,146,1
1338,30.11,30,146,1
1340,30.11,30,146,1
1342,30.11,30,146,1
1344,30.11,30,146,1
1346,30.11,30,146,1
1348,30.11,30,146,1
1350,30.11,30,145,1
1352,30.11,30,145,1
1354,30.11,30,145,1
1356,30.11,30,145,1
1358,30.11,30,145,1
1360,30.11,30,145,1
1362,30.11,30,145,1
1364,30.11,30,145,1
1366,30.11,30,145,1
1368,30.11,30,144,1
1370,30.11,30,144,1
1372,30.11,30,144,1
1374,30.1,30,144,1
1376,30.1,30,144,1
1378,30.1,30,144,1
1380,30.1,30,144,1
1382,30.1,30,144,1
1384,30.1,30,144,1
1386,30.1,30,144,1
1388,30.1,30,143,1
1390,30.1,30,143,1
1392,30.09,30,143,1
1394,30.09,30,143,1
1396,30.09,30,143,1
1398,30.09,30,143,1
1400,30.09,30,143,1
1402,30.09,30,143,1
1404,30.08,30,143,1
1406,30.08,30,143,1
1408,30.08,30,143,1
1410,30.08,30,142,1
1412,30.08,30,142,1
1414,30.07,30,142,1
1416,30.07,30,142,1
1418,30.07,30,142,1
1420,30.07,30,142,1
1422,30.06,30,142,1
1424,30.06,30,142,1
1426,30.06,30,142,1
1428,30.06,30,142,1
1430,30.05,30,142,1
1432,30.05,30,142,1
1434,30.05,30,142,1
1436,30.05,30,142,1
1438,30.04,30,142,1
1440,30.04,30,142,1
1442,30.04,30,142,1
1444,30.03,30,142,1
1446,30.03,30,142,1
1448,30.03,30,142,1
1450,30.02,30,142,1
1452,30.02,30,142,1
1454,30.02,30,142,1
1456,30.02,30,141,1
1458,30.01,30,141,1
1460,30.01,30,141,1
1462,30.01,30,141,1
1464,30,30,141,1
1466,30,30,141,1
1468,30,30,141,1
1470,30,30,141,1
1472,29.99,30,142,1
1474,29.99,30,142,1
1476,29.99,30,142,1
1478,29.98,30,142,1
1480,29.98,30,142,1
1482,29.98,30,142,1
1484,29.97,30,142,1
1486,29.97,30,142,1
1488,29.97,30,142,1
1490,29.97,30,142,1
1492,29.96,30,142,1
1494,29.96,30,142,1
1496,29.96,30,142,1
1498,29.95,30,142,1
1500,29.95,30,142,1
1502,29.95,30,142,1
1504,29.95,30,142,1
1506,29.94,30,142,1
1508,29.94,30,142,1
1510,29.94,30,142,1
1512,29.94,30,142,1
1514,29.94,30,142,1
1516,29.93,30,143,1
1518,29.93,30,143,1
1520,29.93,30,143,1
1522,29.93,30,143,1
1524,29.92,30,143,1
1526,29.92,30,143,1
1528,29.92,30,143,1
1530,29.92,30,143,1
1532,29.92,30,143,1
1534,29.91,30,143,1
1536,29.91,30,143,1
1538,29.91,30,143,1
1540,29.91,30,144,1
1542,29.91,30,144,1
1544,29.91,30,144,1
1546,29.9,30,144,1
1548,29.9,30,144,1
1550,29.9,30,144,1
1552,29.9,30,144,1
1554,29.9,30,144,1
1556,29.9,30,144,1
1558,29.9,30,144,1
1560,29.9,30,145,1
1562,29.9,30,145,1
1564,29.89,30,145,1
1566,29.89,30,145,1
1568,29.89,30,145,1
1570,29.89,30,145,1
1572,29.89,30,145,1
1574,29.89,30,145,1
1576,29.89,30,145,1
1578,29.89,30,145,1
1580,29.89,30,146,1
1582,29.89,30,146,1
1584,29.89,30,146,1
1586,29.89,30,146,1
1588,29.89,30,146,1
1590,29.89,30,146,1
1592,29.89,30,146,1
1594,29.89,30,146,1
1596,29.89,30,146,1
1598,29.89,30,147,1
1600,29.89,30,147,1
1602,29.89,30,147,1
1604,29.89,30,147,1
1606,29.89,30,147,1
1608,29.89,30,147,1
1610,29.89,30,147,1
1612,29.89,30,147,1
1614,29.9,30,147,1
1616,29.9,30,148,1
1618,29.9,30,148,1
1620,29.9,30,148,1
1622,29.9,30,148,1
1624,29.9,30,148,1
1626,29.9,30,148,1
1628,29.91,30,148,1
1630,29.91,30,148,1
1632,29.91,30,148,1
1634,29.91,30,148,1
1636,29.91,30,148,1
1638,29.91,30,149,1
1640,29.92,30,149,1
1642,29.92,30,149,1
1644,29.92,30,149,1
1646,29.92,30,149,1
1648,29.92,30,149,1
1650,29.93,30,149,1
1652,29.93,30,149,1
1654,29.93,30,149,1
1656,29.93,30,149,1
1658,29.93,30,149,1
1660,29.94,30,149,1
1662,29.94,30,149,1
1664,29.94,30,149,1
1666,29.94,30,150,1
1668,29.95,30,150,1
1670,29.95,30,150,1
1672,29.95,30,150,1
1674,29.95,30,150,1
1676,29.96,30,150,1
1678,29.96,30,150,1
1680,29.96,30,150,1
1682,29.96,30,150,1
1684,29.97,30,150,1
1686,29.97,30,150,1
1688,29.97,30,150,1
1690,29.97,30,150,1
1692,29.98,30,150,1
1694,29.98,30,150,1
1696,29.98,30,150,1
1698,29.99,30,150,1
1700,29.99,30,150,1
1702,29.99,30,150,1
1704,29.99,30,150,1
1706,30,30,150,1
1708,30,30,150,1
1710,30,30,150,1
1712,30.01,30,149,1
1714,30.01,30,149,1
1716,30.01,30,149,1
1718,30.02,30,149,1
1720,30.02,30,149,1
1722,30.02,30,149,1
1724,30.03,30,149,1
1726,30.03,30,149,1
1728,30.03,30,149,1
1730,30.04,30,149,1
1732,30.04,30,149,1
1734,30.04,30,149,1
1736,30.04,30,149,1
1738,30.05,30,149,1
1740,30.05,30,149,1
1742,30.05,30,149,1
1744,30.06,30,149,1
1746,30.06,30,149,1
1748,30.06,30,149,1
1750,30.07,30,149,1
1752,30.07,30,149,1
1754,30.07,30,149,1
1756,30.07,30,148,1
1758,30.08,30,148,1
1760,30.08,30,148,1
1762,30.08,30,148,1
1764,30.08,30,148,1
1766,30.09,30,148,1
1768,30.09,30,148,1
1770,30.09,30,148,1
1772,30.09,30,148,1
1774,30.1,30,148,1
1776,30.1,30,148,1
1778,30.1,30,147,1
1780,30.1,30,147,1
1782,30.11,30,147,1
1784,30.11,30,147,1
1786,30.11,30,147,1
1788,30.11,30,147,1
1790,30.11,30,147,1
1792,30.12,30,147,1
1794,30.12,30,146,1
1796,30.12,30,146,1
1798,30.12,30,146,1
1800,30.12,30,146,1
1802,30.12,30,146,1
1804,30.13,30,146,1
1806,30.13,30,146,1
1808,30.13,30,146,1
1810,30.13,30,145,1
1812,30.13,30,145,1
1814,30.13,30,145,1
1816,30.13,30,145,1
1818,30.13,30,145,1
1820,30.14,30,145,1
1822,30.14,30,145,1
1824,30.14,30,145,1
1826,30.14,30,144,1
1828,30.14,30,144,1
1830,30.14,30,144,1
1832,30.14,30,144,1
1834,30.14,30,144,1
1836,30.14,30,144,1
1838,30.14,30,144,1
1840,30.14,30,143,1
1842,30.14,30,143,1
1844,30.14,30,143,1
1846,30.14,30,143,1
1848,30.14,30,143,1
1850,30.14,30,143,1
1852,30.14,30,143,1
1854,30.14,30,142,1
1856,30.14,30,142,1
1858,30.14,30,142,1
1860,30.14,30,142,1
1862,30.14,30,142,1
1864,30.14,30,142,1
1866,30.14,30,142,1
1868,30.14,30,141,1
1870,30.14,30,141,1
1872,30.14,30,141,1
1874,30.14,30,141,1
1876,30.13,30,141,1
1878,30.13,30,141,1
1880,30.13,30,141,1
1882,30.13,30,141,1
1884,30.13,30,140,1
1886,30.13,30,140,1
1888,30.12,30,140,1
1890,30.12,30,140,1
1892,30.12,30,140,1
1894,30.12,30,140,1
1896,30.12,30,140,1
1898,30.11,30,140,1
1900,30.11,30,139,1
1902,30.11,30,139,1
1904,30.11,30,139,1
1906,30.1,30,139,1
1908,30.1,30,139,1
1910,30.1,30,139,1
1912,30.1,30,139,1
1914,30.09,30,139,1
1916,30.09,30,139,1
1918,30.09,30,139,1
1920,30.09,30,139,1
1922,30.08,30,138,1
1924,30.08,30,138,1
1926,30.08,30,138,1
1928,30.08,30,138,1
1930,30.07,30,138,1
1932,30.07,30,138,1
1934,30.07,30,138,1
1936,30.06,30,138,1
1938,30.06,30,138,1
1940,30.06,30,138,1
1942,30.05,30,138,1
1944,30.05,30,138,1
1946,30.05,30,138,1
1948,30.04,30,138,1
1950,30.04,30,138,1
1952,30.04,30,138,1
1954,30.03,30,138,1
1956,30.03,30,138,1
1958,30.03,30,138,1
1960,30.02,30,138,1
1962,30.02,30,138,1
1964,30.02,30,138,1
1966,30.01,30,138,1
1968,30.01,30,138,1
1970,30.01,30,137,1
1972,30,30,138,1
1974,30,30,138,1
1976,30,30,138,1
1978,29.99,30,138,1
1980,29.99,30,138,1
1982,29.99,30,138,1
1984,29.98,30,138,1
1986,29.98,30,138,1
1988,29.98,30,138,1
1990,29.97,30,138,1
1992,29.97,30,138,1
1994,29.97,30,138,1
1996,29.96,30,138,1
1998,29.96,30,138,1
2000,29.96,30,138,1
2002,29.96,30,138,1
2004,29.95,30,138,1
2006,29.95,30,138,1
2008,29.95,30,138,1
2010,29.94,30,138,1
2012,29.94,30,138,1
2014,29.94,30,138,1
2016,29.94,30,138,1
2018,29.93,30,138,1
2020,29.93,30,139,1
2022,29.93,30,139,1
2024,29.93,30,139,1
2026,29.92,30,139,1
2028,29.92,30,139,1
2030,29.92,30,139,1
2032,29.92,30,139,1
2034,29.92,30,139,1
2036,29.91,30,139,1
2038,29.91,30,139,1
2040,29.91,30,139,1
2042,29.91,30,139,1
2044,29.91,30,140,1
2046,29.9,30,140,1
2048,29.9,30,140,1
2050,29.9,30,140,1
2052,29.9,30,140,1
2054,29.9,30,140,1
2056,29.9,30,140,1
2058,29.9,30,140,1
2060,29.89,30,140,1
2062,29.89,30,140,1
2064,29.89,30,141,1
2066,29.89,30,141,1
2068,29.89,30,141,1
2070,29.89,30,141,1
2072,29.89,30,141,1
2074,29.89,30,141,1
2076,29.89,30,141,1
2078,29.88,30,141,1
2080,29.88,30,142,1
2082,29.88,30,142,1
2084,29.88,30,142,1
2086,29.88,30,142,1
2088,29.88,30,142,1
2090,29.88,30,142,1
2092,29.88,30,142,1
2094,29.88,30,142,1
2096,29.88,30,142,1
2098,29.88,30,143,1
2100,29.88,30,143,1
2102,29.88,30,143,1
2104,29.88,30,143,1
2106,29.88,30,143,1
2108,29.89,30,143,1
2110,29.89,30,143,1
2112,29.89,30,143,1
2114,29.89,30,143,1
2116,29.89,30,144,1
2118,29.89,30,144,1
2120,29.89,30,144,1
2122,29.89,30,144,1
2124,29.89,30,144,1
2126,29.89,30,144,1
2128,29.89,30,144,1
2130,29.89,30,144,1
2132,29.89,30,144,1
2134,29.9,30,145,1
2136,29.9,30,145,1
2138,29.9,30,145,1
2140,29.9,30,145,1
2142,29.9,30,145,1
2144,29.9,30,145,1
2146,29.91,30,145,1
2148,29.91,30,145,1
2150,29.91,30,145,1
2152,29.91,30,145,1
2154,29.92,30,145,1
2156,29.92,30,146,1
2158,29.92,30,146,1
2160,29.92,30,146,1
2162,29.92,30,146,1
2164,29.93,30,146,1
2166,29.93,30,146,1
2168,29.93,30,146,1
2170,29.93,30,146,1
2172,29.93,30,146,1
2174,29.94,30,146,1
2176,29.94,30,146,1
2178,29.94,30,146,1
2180,29.94,30,146,1
2182,29.95,30,146,1
2184,29.95,30,146,1
2186,29.95,30,146,1
2188,29.96,30,146,1
2190,29.96,30,147,1
2192,29.96,30,147,1
2194,29.96,30,147,1
2196,29.97,30,147,1
2198,29.97,30,147,1
2200,29.97,30,147,1
2202,29.98,30,147,1
2204,29.98,30,147,1
2206,29.98,30,147,1
2208,29.99,30,147,1
2210,29.99,30,147,1
2212,29.99,30,147,1
2214,30,30,147,1
2216,30,30,147,1
2218,30,30,147,1
2220,30,30,147,1
2222,30.01,30,147,1
2224,30.01,30,147,1
2226,30.01,30,147,1
2228,30.02,30,147,1
